dpf_ko,dose_ko,x_fish_ko,x_dead_ko,percent_dead_ko,hatched_ko,percent_hatched_ko,abnormalities_ko,percent_abnormalities_ko,dpf_ab,dose_ab,x_fish_ab,x_dead_ab,percent_dead_ab,hatched_ab,percent_hatched_ab,abnormalities_ab,percent_abnormalities_ab
1,0,60,10,16.66666667,na,na,na,na,1,0,60,3,5,na,na,na,na
1,0.25,60,7,11.66666667,na,na,na,na,1,0.25,60,1,1.666666667,na,na,na,na
1,0.5,60,8,13.33333333,na,na,na,na,1,0.5,60,1,1.666666667,na,na,na,na
1,2,60,10,16.66666667,na,na,na,na,1,2,60,3,5,na,na,na,na
1,8,60,11,18.33333333,na,na,na,na,1,8,60,3,5,na,na,na,na
1,16,60,22,36.66666667,na,na,na,na,1,16,60,52,86.66666667,na,na,na,na
2,0,60,0,16.66666667,36,72,na,na,2,0,60,0,5,17,29.8245614,na,na
2,0.25,60,0,11.66666667,30,56.60377358,na,na,2,0.25,60,0,1.666666667,3,5.084745763,na,na
2,0.5,60,0,13.33333333,25,48.07692308,na,na,2,0.5,60,0,1.666666667,3,5.084745763,na,na
2,2,60,0,16.66666667,8,16,na,na,2,2,60,7,16.66666667,4,8,na,na
2,8,60,5,26.66666667,0,0,na,na,2,8,60,10,21.66666667,0,0,na,na
2,16,60,38,100,na,na,na,na,2,16,60,8,100,na,na,na,na
3,0,60,0,16.66666667,49,98,na,na,3,0,60,0,5,51,89.47368421,na,na
3,0.25,60,0,11.66666667,52,98.11320755,na,na,3,0.25,60,0,1.666666667,53,89.83050847,na,na
3,0.5,60,0,13.33333333,52,100,na,na,3,0.5,60,0,1.666666667,54,91.52542373,na,na
3,2,60,0,16.66666667,50,100,na,na,3,2,60,1,18.33333333,42,85.71428571,na,na
3,8,60,13,48.33333333,13,41.93548387,na,na,3,8,60,47,100,na,na,na,na
3,16,60,60,100,na,na,na,na,3,16,60,60,100,na,na,na,na
4,0,60,0,16.66666667,50,100,na,na,4,0,60,0,5,57,100,na,na
4,0.25,60,0,11.66666667,53,100,na,na,4,0.25,60,0,1.666666667,59,100,na,na
4,0.5,60,0,13.33333333,52,100,na,na,4,0.5,60,0,1.666666667,59,100,na,na
4,2,60,0,16.66666667,50,100,na,na,4,2,60,0,18.33333333,49,100,na,na
4,8,60,31,100,na,na,na,na,4,8,60,60,100,na,na,na,na
4,16,60,60,100,na,na,na,na,4,16,60,60,100,na,na,na,na
5,0,60,0,16.66666667,,100,2,4,5,0,60,0,5,na,100,2,3.50877193
5,0.25,60,0,11.66666667,,100,1,1.886792453,5,0.25,60,0,1.666666667,na,100,4,6.779661017
5,0.5,60,0,13.33333333,,100,1,1.923076923,5,0.5,60,0,1.666666667,na,100,7,11.86440678
5,2,60,0,16.66666667,,100,50,100,5,2,60,0,18.33333333,na,100,43,87.75510204
5,8,60,60,100,na,na,na,na,5,8,60,60,100,na,na,na,na
5,16,60,60,100,na,na,na,na,5,16,60,60,100,na,na,na,na
0,0,60,na,na,na,na,na,na,0,0,60,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,0,0.25,60,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,0,0.5,60,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na,0,2,60,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,0,8,60,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,0,16,60,na,na,na,na,na,na
1,0,60,12,20,na,na,na,na,1,0,60,2,3.333333333,na,na,na,na
1,0.25,60,9,15,na,na,na,na,1,0.25,60,1,1.666666667,na,na,na,na
1,0.5,60,10,16.66666667,na,na,na,na,1,0.5,60,3,5,na,na,na,na
1,2,60,13,21.66666667,na,na,na,na,1,2,60,4,6.666666667,na,na,na,na
1,8,60,13,21.66666667,na,na,na,na,1,8,60,2,3.333333333,na,na,na,na
1,16,60,23,38.33333333,na,na,na,na,1,16,60,43,71.66666667,na,na,na,na
2,0,60,0,20,37,77.08333333,na,na,2,0,60,0,3.333333333,8,13.79310345,na,na
2,0.25,60,0,15,15,29.41176471,na,na,2,0.25,60,0,1.666666667,2,3.389830508,na,na
2,0.5,60,0,16.66666667,10,20,na,na,2,0.5,60,0,5,12,21.05263158,na,na
